Name,Type,Sub_Type,Specification,embedded_schema,Weight,value_type,Description,Stage,is_contribute_rating_overall
has_nosql,Technical,None,,,Not Applicable,Boolean,Has experience with NoSQL databases,1,False
communication_skills_df,Core,None,"Evaluate the candidate's communication skills as demonstrated through formal writing, resume (take into account the structure of the resume and how it compares relative to current professional standards), public presentations, etc.  Score each skill using a scale 1-10 and then provide an aggregate score summing up the candidate's communication skills overall and provide this aggregate score first in the value column
List of dictionaries. Ordered by highest impact. 
skill:
source:",,Not Applicable,List,"Communication skills demonstrated through formal writing, resume (take into account the quality and structure of the resume and how it compares relative to current professional standards), public presentations, etc. Provide an aggregate score.",1,False
has_agile_exp,Experience,None,,,Not Applicable,Boolean,Has worked in scrum /agile team or has agile/scrum certification.,1,False
role_experience_df,Basic,None,"List of dictionaries. Attributes:
-- role\_name: for example, project manager
-- months\_of\_experience: for example, 13",,Not Applicable,List,"By role type, number of months. Use a generic role name, instead of their job title. Examples of generic role names: Developer, Project Manager, Product Manager -- and not Sr. Project Manager, L2 Software Engineer, Staff Engineer, Assistant Product Manager.",1,False
technical_gaps_df,Core,Negatives,"List of dictionaries (max 5; sort by most serious fault). Attributes: 
-- gap\_type: for example, certificate, technology, skill
-- gap: eg, SQL
-- severity: 1-10 (10 being highest)
-- eval: eg, mentions data engineer but SQL not mentioned in resume",,Not Applicable,List,"For the role type in which the person has functioned, what technical and skill gaps exist that stand out? For example Candidate identifies as a data engineer but SQL is nowhere found in candidate evaluation material (resume, code, project, articles, etc)",1,False
quality_of_educational_institutions_for_degree_df,Experience,None,"List of dictionaries. Attributes:
institute\_name:
value: rating
eval:",,Not Applicable,List,"Evaluate the reputation and latest rank of the higher education schools considering only the program in which received their degree (for example Law, Physical Therapy, Dentistry).
Only include educational institutions where the applicant received an undergraduate, graduate, or doctorate level degree; do not include institutions where applicant received a certificate or did not graduate. Use a scale 0-10, 0 for no higher education. 10 being most prestigious. Use latest, most accepted, authoritative data available when evaluating the institutions. Use 0 for no higher education.",1,False
social_media_personal,Basic,None,,,Not Applicable,Text,Personal website URL as can be determined from available resources,1,False
eligible_roles_df,Core,None,"List of dictionaries. Attributes of:
-- role: 
-- rating: (of 1-10) ,
-- type: of('predefined' if role is from the 'Attribute Description'; else, 'Other')
-- eval: [extended evaluation text. No more than 100 words]}",,Not Applicable,List,"List of roles person can perform. Of (Scrum Master, Agile Coach, Release Engineer, Product Owner, Project Manager, Technical Project Manager, Program Manager, Change Manager, ERP Specialist,  Business Intelligence Analyst, Data Engineer, Cybersecurity Specialist,  Full Stack Developer
Instruction to AI: Identify other roles not in the list",1,False
has_project_management_exp,Experience,None,,,8,Boolean,"Has held a project management role. To be eligible, person must have held a title with project manager or program manager in the name. DO NOT INCLUDE OTHER ROLES.",1,False
certificates_df,Core,None,"List of dictionaries. Attributes: 
-- name: certificate name, for example
-- type:of(certificate, award, industry\_recognition,patent, honor, etc)
-- issuer:
-- issuer\_id:
-- url: 
-- date: date issued",,Not Applicable,List,"What certificates, awards, honors, patents or industry recognition does person have? Note: Do not provide a date field if no issue date provided. Issue date can be a year or be more detailed.",1,False
has_project_management_certificate,Role,Project_Management,,,10,Boolean,,1,False
residence_timezone,Basic,None,"of (Eastern Time (ET),
Central Time (CT),
Mountain Time (MT),
Pacific Time (PT),
Alaska Time (AKT),
Hawaii-Aleutian Time (HAT),
Atlantic Time (AT) - Puerto Rico and U.S. Virgin Islands, Samoa Time (ST) - American Samoa,
UNKNOWN
)",,Not Applicable,Text,"Timezone as can be determined by residence address, phone area code, or location of latest onsite employer",1,False
resume_writing_issues_df,Resume Evaluation,Negatives,"List of dictionaries. Dictionary attributes:
-- negative:What's the problem/issue?
-- eval: Explain why this is a significant fault 
-- rating:In a scale of 1-10, how significant of a fault is this?
-- remediation: How do we fix this?",,Not Applicable,List,What are spelling and grammar issues in the resume,1,False
reasons_not_to_hire_df,Principal,Negatives,"List of dictionaries. Dictionary attributes:
-- negative: What's the problem/issue?
-- eval: Explain why this is a significant fault for a hiring manager?
-- rating:In a scale of 1-10, how significant of a fault is this?
-- remediation: How can we overcome this fault?",,Not Applicable,List,"What are the top 5 reasons a hiring manager would have for not hiring this person? For example, lack of technical depth; poor written communication skills; overly broad set of skills -- no one can possibly know two dozen programming languages; lack of job experience. Include possible biases that may be obstacles to a hiring. These are not reasons for not hiring based on bias but rather reasons not to hire based on objective evaluations of the inputs.",1,False
rating_quality_of_employers,Core,None,"Use a scale 0-10, where 10 for FAANG and similar level companies (highest paying/prestigious companies); lower scores for companies such as AT&T, T-Mobile, Microsoft, lower tier tech companies; 5 for known brands; 3 for lesser-known brands, 1 for small unknown. Aggregate all scores in a total value. More recent is weighted highest.",,10,Decimal,Look at company names.,1,True
has_relational_database_exp,Technical,None,,,Not Applicable,Text,Has experience with SQL databases,1,False
social_media_linkedin,Basic,None,,,Not Applicable,Text,LinkedIn profile URL as can be determined from available resources,1,False
